*
*                                  Adjustment EPFL Hydro UAV-Nex5
*
 
*   <___Photo_No.__><___Easting__><__Northing__><__Height_><___Phi__><__Omega_><__Kappa_><___Camera_No._>
 
CORD            2107    313414.904   5154839.903    445.606  0.049  0.044  0.035   +4
CORD            2108    313412.538   5154831.826    445.600  0.039  0.035  0.027  +29
CORD            2110    313413.418   5154833.013    445.592  0.039  0.035  0.025  +26
CORD            2112    313414.530   5154836.061    445.582  0.041  0.037  0.027  +18
CORD            2114    313406.746   5154830.496    446.781  0.039  0.039  0.038   +5
CORD            2116    313412.015   5154833.584    445.592  0.036  0.032  0.025  +32
CORD            2117    313408.460   5154838.229    445.623  0.039  0.036  0.039  +19
CORD            2119    313414.895   5154834.883    445.579  0.041  0.038  0.027  +17
CORD            2120    313409.658   5154833.236    445.602  0.035  0.032  0.029  +31
CORD            2122    313412.802   5154836.864    446.560  0.034  0.030  0.027  +20
CORD            2123    313414.104   5154831.901    445.599  0.042  0.038  0.028  +17
CORD            2125    313407.945   5154839.879    445.621  0.044  0.041  0.045  +10
CORD            2127    313406.188   5154838.722    445.640  0.043  0.042  0.048   +9
 
*   <___Camera._No_><____c___><___xH___><___yH___><___s_c__><__s_xH__><__s_yH__>
 
CAPA              N5   15.7637   -0.2281    0.1320    0.0077    0.0017    0.0029
 
*   <___Camera._No_><____ex__><____ey__><____ez__><__d_phi_><__d_ome_><__d_kap_>
 
ECCA              N5    0.0559    0.0008    0.1961
END
