584                     N5
2031 8.94506 2.42263
2102 -1.1013 1.18049
2116 -5.27367 0.744743
2095 3.33607 0.0999943
2090 8.65559 -1.51346
2122 7.12975 -3.71178
2110 -7.99225 -3.84994
2005 -1.8475 -4.6723
2026 8.85975 -5.18837
2016 1.12633 -6.44508
-99
569
2020 9.23001 6.6044
2088 4.64734 5.27707
2001 1.20435 4.51031
2077 -2.37172 2.65803
2120 5.12823 2.44987
2029 9.40562 0.494479
2082 5.32774 -0.525727
2010 0.743718 -0.568234
2074 -5.49068 -1.21046
2102 9.53916 -2.68089
2079 -2.2895 -3.51385
2116 6.48938 -3.56217
2108 1.98235 -5.18677
2103 -0.179109 -5.41217
2005 10.0851 -7.32639
2110 5.27216 -7.43194
-99
589
2080 2.22885 6.82098
2008 -10.9233 6.86023
2031 -4.1469 5.76594
2024 -8.26448 4.6946
2033 7.00313 3.98917
2104 2.34387 3.51284
2100 -7.92531 2.57101
2105 6.80205 1.38957
2027 -5.67616 1.34553
2023 -2.29613 0.83218
2117 -0.881141 0.280508
2018 2.30149 -0.811356
2041 8.71625 -2.00034
2125 -3.13887 -3.49065
2127 2.07549 -5.03752
2007 -0.386873 -5.1017
2015 -5.62204 -5.65225
2042 4.89466 -6.0603
-99
588
2064 2.2077 6.9035
2123 -0.581827 5.45534
2103 3.99184 5.0314
2074 9.62152 4.9698
2079 6.27974 4.85305
2087 -2.52773 4.57723
2108 1.70634 3.09929
2110 -1.57786 2.95262
2077 9.94013 0.896753
2112 -8.41714 0.675271
2010 4.99099 0.631369
2005 -4.75664 0.565681
2016 -7.34742 0.122031
2116 -0.652397 -0.222274
2089 -11.3117 -0.649184
2082 1.74251 -1.83699
2102 -2.47083 -2.48121
2001 7.75117 -3.51318
2122 -9.1479 -3.66048
2095 -5.843 -3.69275
2120 3.54368 -4.09461
2026 -10.3629 -4.13681
2029 -0.824667 -4.94729
2088 5.64709 -6.25651
-99
595
2102 1.28724 7.4617
2029 3.45121 6.71864
2095 -0.0892054 6.6848
2122 -2.31029 5.29651
2080 5.5492 4.85243
2033 9.75017 4.75355
2089 -5.65451 4.66149
2085 2.85861 4.23688
2105 10.716 3.09451
2002 -7.60256 2.98768
2104 6.9286 2.84885
2090 -1.39812 2.61465
2031 0.764958 1.86959
2107 -7.48592 0.447419
2008 -4.55665 0.0306195
2018 7.96031 -0.156564
2024 -1.87221 -0.437214
2117 5.30699 -0.627446
2023 4.07134 -0.798279
2027 1.40248 -1.77667
2100 -0.794152 -1.80911
2014 -4.04621 -2.12436
2127 9.70262 -3.22198
2125 5.2688 -4.23372
2007 7.96663 -4.27862
2015 5.92083 -6.0787
-99
586
2110 -1.92588 6.86577
2108 2.33337 6.19348
2112 -11.428 5.80413
2005 -6.63103 4.63978
2116 -1.60709 2.58789
2010 5.85515 2.17876
2102 -4.52247 0.195784
2082 1.01027 -0.0840452
2095 -9.743 -0.294633
2029 -3.08804 -3.32328
2120 2.67917 -3.39471
2001 8.16345 -3.76045
2088 4.72103 -6.60724
-99
566
2016 -3.10689 7.34099
2119 -6.5212 6.13459
2122 0.830815 4.5879
2112 -4.41705 3.74476
2031 6.23668 3.57007
2090 3.26045 2.26502
2026 0.736577 1.31201
2027 10.4895 0.556437
2089 -3.73172 0.111542
2024 5.89979 -1.30014
2100 8.35254 -1.59653
2008 2.60948 -3.57061
2002 -4.1099 -3.73989
2014 9.74706 -5.47648
2107 -1.09899 -6.28132
-99
553
2088 -2.98274 7.56394
2085 7.66406 6.39104
2001 -6.19679 6.16144
2120 -2.10269 4.94081
2031 9.75385 4.41736
S2077 -10.8351 4.04197
2029 2.35953 3.86092
2082 -1.47597 2.11918
2090 10.5741 1.49702
2010 -5.90207 1.20908
2095 6.99136 1.13067
2102 2.95721 0.827759
2122 10.482 -0.45941
2116 0.126241 -0.592178
2079 -9.85867 -1.82151
2108 -4.00714 -2.9824
2103 -7.58108 -3.2312
2005 4.05159 -3.47076
2016 7.21847 -3.69527
2110 -0.470681 -4.53398
2112 8.03571 -5.52259
2064 -6.90146 -6.55076
2087 -0.274592 -7.01271
2123 -2.91198 -7.0101
2119 5.27076 -7.23008
-99
576
2027 -0.98207 7.58083
2007 -7.68695 7.17984
S2002 10.3857 7.02059
2023 -3.05669 5.67943
2127 -8.85754 5.65078
2117 -4.13614 5.05631
2026 5.95701 4.99071
2090 3.66376 4.69552
2031 1.18136 4.54688
2089 9.23523 4.43178
2122 5.94208 3.68083
2018 -6.40694 3.58544
2085 0.0760765 2.6409
2104 -4.52096 2.37978
2112 8.99234 1.62541
2041 -11.0848 1.39941
2095 4.36493 1.24984
2080 -2.37836 0.857956
2016 8.1847 0.698469
2105 -7.97801 0.66481
2033 -6.52902 -0.695789
2119 10.1428 -0.804999
2005 7.04842 -1.27823
2102 3.40744 -1.58506
2029 0.727876 -1.64663
2020 -4.70694 -1.7331
2116 4.29251 -4.19991
2059 -6.42677 -5.20751
2110 7.52218 -5.22197
2082 1.76722 -5.24753
2087 9.60832 -5.3904
2120 -0.857311 -5.43218
2038 -11.1544 -5.59682
2088 -3.43687 -5.88285
-99
568
2077 3.53859 7.21723
2001 7.13855 4.14896
2079 -2.07119 3.80827
2010 2.09953 1.81275
2088 10.0336 1.34495
2103 -2.66946 0.907492
2120 7.50292 -0.680477
2064 -5.70937 -1.09027
2108 -1.45411 -1.77934
2082 4.74715 -2.47628
2123 -5.04777 -4.36527
2116 2.52617 -5.20862
2029 8.19361 -5.95946
2110 -1.73463 -6.01523
2087 -4.14273 -7.09185
-99
573
2051 -10.8995 7.31572
2005 5.61018 6.6354
2102 1.29361 5.73941
2029 -1.91999 5.25442
2066 -10.8635 4.61138
2020 -8.47862 4.26126
2116 2.76773 2.86772
2087 9.2506 2.33331
2110 6.79053 2.18061
2082 -0.130899 1.244
2050 -10.3766 0.980614
2059 -10.907 0.944372
2120 -3.30119 0.583766
2088 -6.38141 -0.386569
2123 9.38881 -0.353056
2108 5.3098 -1.49388
2054 -9.76544 -3.4796
2069 -10.3257 -3.5889
2064 10.1664 -3.63153
2010 0.783877 -3.64999
2001 -4.9444 -4.08828
2103 6.63328 -4.46403
2079 5.12488 -7.1812
2057 -9.30052 -7.28278
-99
592
2027 4.05787 7.4948
2024 8.97293 6.10761
2023 0.517785 5.84026
2117 -1.16452 5.47033
2018 -4.75937 4.47981
2031 5.63936 2.45763
2104 -2.73163 1.63878
2090 9.01194 1.57751
2105 -8.26131 0.821961
2085 3.81808 -0.147746
2080 -0.418416 -1.53885
2033 -6.87596 -1.77651
2066 -6.93194 -3.75836
2095 9.26123 -4.16647
S2029 2.39572 -5.66707
S2102 5.96599 -6.77629
-99
596
2079 0.353346 6.63355
2064 -3.17201 6.27469
2077 4.19531 5.58079
2021 -6.17998 5.00551
2114 10.3861 3.88811
2108 -1.78997 3.57962
2010 1.45449 3.41592
2067 8.28027 2.82336
2110 -3.92165 1.98169
2001 4.89972 1.96328
2069 7.71807 0.597901
2082 0.473105 0.373852
2116 -1.80338 0.317632
2120 2.58669 -0.241793
2088 4.75313 -0.64276
2005 -4.92194 -1.09628
2093 8.78797 -1.23474
2102 -1.94589 -1.97604
2059 6.98898 -2.21168
2016 -6.30684 -2.47448
2029 0.228034 -2.7561
2112 -7.52321 -2.80748
2038 10.9182 -3.39142
2095 -3.50862 -4.12099
2089 -8.87581 -5.1036
2122 -5.66947 -5.65579
2080 2.10906 -5.95632
2033 6.032 -5.96254
2085 -0.478669 -6.69998
2026 -6.37384 -6.74468
2002 -10.9732 -7.08561
2090 -4.37769 -7.24824
-99
562
S2103 -7.65838 6.18506
2064 -10.4549 5.72523
2069 5.74943 4.75053
2001 1.88275 4.69051
2054 5.39871 4.58664
2010 -2.81693 4.55517
2093 7.96284 3.1806
2108 -6.67561 3.0365
2123 -10.1667 2.28564
2088 3.08015 1.64102
2059 6.43904 1.06324
2050 6.08315 0.945194
2120 0.382699 0.949498
2082 -2.38874 0.526497
2110 -8.37608 0.0324678
2087 -10.4867 0.017821
2116 -5.01923 -0.769679
2066 6.66927 -2.36098
2020 5.04036 -2.68064
2029 -1.02905 -3.26498
2102 -3.98871 -3.54285
2033 7.38277 -3.94644
2005 -7.98277 -4.16157
2119 -11.4585 -4.97774
2105 9.45302 -5.47876
2080 2.74194 -6.2007
2095 -5.12641 -7.24054
-99
599
2090 3.03528 7.1813
2100 -3.20379 6.77459
2095 9.11448 6.17163
2031 1.6187 4.3593
2027 -3.55007 3.95915
2102 10.3635 2.79121
2085 4.49765 2.06628
2023 -2.70225 0.246684
2029 8.78468 -0.308535
2125 -7.42397 -0.758286
2117 -2.69183 -1.47843
2080 5.10233 -2.23068
2104 1.566 -3.87079
2007 -7.97631 -4.31681
2018 -2.49084 -5.30244
2127 -6.93781 -6.89825
-99
572
2059 -9.11374 7.0179
2082 0.73658 6.78108
2120 -2.19249 6.0748
2123 9.66646 5.65229
2088 -5.04306 5.08049
2093 -10.7741 4.54166
2108 5.88082 4.46315
2064 10.5129 3.92838
2103 7.34207 3.0661
2069 -8.22934 2.93455
2054 -7.77869 2.90611
2010 1.79164 2.3911
